year,league,player,team,market,group,group_totals,old_count
1998,NBA,Michael Jordan,Chicago Bulls,Chicago,8,23,22
1998,MLB,Sammy Sosa,Chicago Cubs,Chicago,8,23,22
2000,NBA,Shaquille O'Neal,Los Angeles Lakers,LA/Anaheim,2,23,21
2004,MLB,Vladimir Guerrero,Los Angeles Angels,LA/Anaheim,2,23,21
2008,NBA,Kobe Bryant,Los Angeles Lakers,LA/Anaheim,2,23,21
2011,NBA,Derrick Rose,Chicago Bulls,Chicago,8,23,22
2011,NHL,Corey Perry,Anaheim Ducks,LA/Anaheim,2,23,21
2014,MLB,Mike Trout,Los Angeles Angels,LA/Anaheim,2,23,21
2014,MLB,Clayton Kershaw,Los Angeles Dodgers,LA/Anaheim,2,23,21
2016,NHL,Patrick Kane,Chicago Blackhawks,Chicago,8,23,22
2016,MLB,Kris Bryant,Chicago Cubs,Chicago,8,23,22
2016,MLB,Mike Trout,Los Angeles Angels,LA/Anaheim,2,23,21
2019,MLB,Mike Trout,Los Angeles Angels,LA/Anaheim,,23,
2019,MLB,Cody Bellinger,Los Angeles Dodgers,LA/Anaheim,,23,
2020,MLB,Jose Abreu,Chicago White Sox,Chicago,,23,
1957,MLB,Hank Aaron,Milwaukee Brewers,Milwaukee/GB,17,20,18
1961,NFL,Paul Hornung,Green Bay Packers,Milwaukee/GB,17,20,18
1962,NFL,Jim Taylor,Green Bay Packers,Milwaukee/GB,17,20,18
1966,NFL,Bart Starr,Green Bay Packers,Milwaukee/GB,17,20,18
1971,NBA,Kareem Abdul-Jabbar,Milwaukee Bucks,Milwaukee/GB,17,20,18
1972,NBA,Kareem Abdul-Jabbar,Milwaukee Bucks,Milwaukee/GB,17,20,18
1974,NBA,Kareem Abdul-Jabbar,Milwaukee Bucks,Milwaukee/GB,17,20,18
1981,MLB,Rollie Fingers,Milwaukee Brewers,Milwaukee/GB,17,20,18
1982,MLB,Robin Yount,Milwaukee Brewers,Milwaukee/GB,17,20,18
1989,MLB,Robin Yount,Milwaukee Brewers,Milwaukee/GB,17,20,18
1995,NFL,Brett Favre,Green Bay Packers,Milwaukee/GB,17,20,18
1996,NFL,Brett Favre,Green Bay Packers,Milwaukee/GB,17,20,18
1997,NFL,Brett Favre,Green Bay Packers,Milwaukee/GB,17,20,18
2011,NFL,Aaron Rodgers,Green Bay Packers,Milwaukee/GB,17,20,18
2011,MLB,Ryan Braun,Milwaukee Brewers,Milwaukee/GB,17,20,18
2014,NFL,Aaron Rodgers,Green Bay Packers,Milwaukee/GB,17,20,18
2018,MLB,Christian Yelich,Milwaukee Brewers,Milwaukee/GB,17,20,18
2019,NBA,Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee/GB,17,20,18
2020,NBA,Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee/GB,,20,
2020,NFL,Aaron Rodgers,Green Bay Packers,Milwaukee/GB,,20,
1960,NFL,Norm Van Brocklin,Philadelphia Eagles,Philadelphia,14,17,17
1960,NBA,Wilt Chamberlain,Philadelphia Warriors,Philadelphia,14,17,17
1966,NBA,Wilt Chamberlain,Philadelphia 76ers,Philadelphia,14,17,17
1967,NBA,Wilt Chamberlain,Philadelphia 76ers,Philadelphia,14,17,17
1968,NBA,Wilt Chamberlain,Philadelphia 76ers,Philadelphia,14,17,17
1973,NHL,Bobby Clarke,Philadelphia Flyers,Philadelphia,14,17,17
1975,NHL,Bobby Clarke,Philadelphia Flyers,Philadelphia,14,17,17
1976,NHL,Bobby Clarke,Philadelphia Flyers,Philadelphia,14,17,17
1980,MLB,Mike Schmidt,Philadelphia Phillies,Philadelphia,14,17,17
1981,NBA,Julius Erving,Philadelphia 76ers,Philadelphia,14,17,17
1981,MLB,Mike Schmidt,Philadelphia Phillies,Philadelphia,14,17,17
1983,NBA,Moses Malone,Philadelphia 76ers,Philadelphia,14,17,17
1986,MLB,Mike Schmidt,Philadelphia Phillies,Philadelphia,14,17,17
1995,NHL,Eric Lindros,Philadelphia Flyers,Philadelphia,14,17,17
2001,NBA,Allen Iverson,Philadelphia 76ers,Philadelphia,14,17,17
2006,MLB,Ryan Howard,Philadelphia Phillies,Philadelphia,14,17,17
2007,MLB,Jimmy Rollins,Philadelphia Phillies,Philadelphia,14,17,17
1957,MLB,Mickey Mantle,New York Yankees,NY/New Jersey,12,16,16
1959,NHL,Andy Bathgate,New York Rangers,NY/New Jersey,12,16,16
1960,MLB,Roger Maris,New York Yankees,NY/New Jersey,12,16,16
1961,MLB,Roger Maris,New York Yankees,NY/New Jersey,12,16,16
1962,MLB,Mickey Mantle,New York Yankees,NY/New Jersey,12,16,16
1963,NFL,Y.A. Tittle,New York Giants,NY/New Jersey,12,16,16
1963,MLB,Elston Howard,New York Yankees,NY/New Jersey,12,16,16
1970,NBA,Willis Reed,New York Knicks,NY/New Jersey,12,16,16
1976,MLB,Thurman Munson,New York Yankees,NY/New Jersey,12,16,16
1979,NHL,Bryan Trottier,New York Islanders,NY/New Jersey,12,16,16
1985,MLB,Don Mattingly,New York Yankees,NY/New Jersey,12,16,16
1986,NFL,Lawrence Taylor,New York Giants,NY/New Jersey,12,16,16
1992,NHL,Mark Messier,New York Rangers,NY/New Jersey,12,16,16
2005,MLB,Alex Rodriguez,New York Yankees,NY/New Jersey,12,16,16
2007,MLB,Alex Rodriguez,New York Yankees,NY/New Jersey,12,16,16
2018,NHL,Taylor Hall,New Jersey Devils,NY/New Jersey,12,16,16
1959,NBA,Bob Pettit,St. Louis Hawks,St. Louis,23,15,15
1960,MLB,Dick Groat,Pittsburgh Pirates,Pittsburgh,19,15,15
1964,MLB,Ken Boyer,St. Louis Cardinals,St. Louis,23,15,15
1966,MLB,Roberto Clemente,Pittsburgh Pirates,Pittsburgh,19,15,15
1967,MLB,Orlando Cepeda,St. Louis Cardinals,St. Louis,23,15,15
1968,MLB,Bob Gibson,St. Louis Cardinals,St. Louis,23,15,15
1971,MLB,Joe Torre,St. Louis Cardinals,St. Louis,23,15,15
1978,MLB,Dave Parker,Pittsburgh Pirates,Pittsburgh,19,15,15
1978,NFL,Terry Bradshaw,Pittsburgh Steelers,Pittsburgh,19,15,15
1979,MLB,Willie Stargell,Pittsburgh Pirates,Pittsburgh,19,15,15
1979,MLB,Keith Hernandez,St. Louis Cardinals,St. Louis,23,15,15
1985,MLB,Willie McGee,St. Louis Cardinals,St. Louis,23,15,15
1988,NHL,Mario Lemieux,Pittsburgh Penguins,Pittsburgh,19,15,15
1990,MLB,Barry Bonds,Pittsburgh Pirates,Pittsburgh,19,15,15
1991,NHL,Brett Hull,St. Louis Blues,St. Louis,23,15,15
1992,MLB,Barry Bonds,Pittsburgh Pirates,Pittsburgh,19,15,15
1993,NHL,Mario Lemieux,Pittsburgh Penguins,Pittsburgh,19,15,15
1996,NHL,Mario Lemieux,Pittsburgh Penguins,Pittsburgh,19,15,15
1999,NHL,Jaromir Jagr,Pittsburgh Penguins,Pittsburgh,19,15,15
1999,NFL,Kurt Warner,St. Louis Rams,St. Louis,23,15,15
2000,NHL,Chris Pronger,St. Louis Blues,St. Louis,23,15,15
2000,NFL,Marshall Faulk,St. Louis Rams,St. Louis,23,15,15
2001,NFL,Kurt Warner,St. Louis Rams,St. Louis,23,15,15
2005,MLB,Albert Pujols,St. Louis Cardinals,St. Louis,23,15,15
2007,NHL,Sidney Crosby,Pittsburgh Penguins,Pittsburgh,19,15,15
2008,MLB,Albert Pujols,St. Louis Cardinals,St. Louis,23,15,15
2009,MLB,Albert Pujols,St. Louis Cardinals,St. Louis,23,15,15
2012,NHL,Evgeni Malkin,Pittsburgh Penguins,Pittsburgh,19,15,15
2013,MLB,Andrew McCutchen,Pittsburgh Pirates,Pittsburgh,19,15,15
2014,NHL,Sidney Crosby,Pittsburgh Penguins,Pittsburgh,19,15,15
1959,NFL,Johnny Unitas,Baltimore Colts,Baltimore,25,12,11
1961,MLB,Frank Robinson,Cincinnati Reds,Cincinnati,26,12,12
1964,NBA,Oscar Robertson,Cincinnati Royals,Cincinnati,26,12,12
1964,NFL,Johnny Unitas,Baltimore Colts,Baltimore,25,12,11
1964,MLB,Brooks Robinson,Baltimore Orioles,Baltimore,25,12,11
1966,MLB,Frank Robinson,Baltimore Orioles,Baltimore,25,12,11
1967,NFL,Johnny Unitas,Baltimore Colts,Baltimore,25,12,11
1968,NFL,Earl Morrall,Baltimore Colts,Baltimore,25,12,11
1969,NBA,Wes Unseld,Baltimore Bullets,Baltimore,25,12,11
1970,MLB,Johnny Bench,Cincinnati Reds,Cincinnati,26,12,12
1970,MLB,Boog Powell,Baltimore Orioles,Baltimore,25,12,11
1972,MLB,Johnny Bench,Cincinnati Reds,Cincinnati,26,12,12
1973,MLB,Pete Rose,Cincinnati Reds,Cincinnati,26,12,12
1975,MLB,Joe Morgan,Cincinnati Reds,Cincinnati,26,12,12
1976,MLB,Joe Morgan,Cincinnati Reds,Cincinnati,26,12,12
1976,NFL,Bert Jones,Baltimore Colts,Baltimore,25,12,11
1977,MLB,George Foster,Cincinnati Reds,Cincinnati,26,12,12
1981,NFL,Ken Anderson,Cincinnati Bengals,Cincinnati,26,12,12
1983,MLB,Cal Ripken Jr.,Baltimore Orioles,Baltimore,25,12,11
1988,NFL,Boomer Esiason,Cincinnati Bengals,Cincinnati,26,12,12
1991,MLB,Cal Ripken Jr.,Baltimore Orioles,Baltimore,25,12,11
1995,MLB,Barry Larkin,Cincinnati Reds,Cincinnati,26,12,12
2010,MLB,Joey Votto,Cincinnati Reds,Cincinnati,26,12,12
2019,NFL,Lamar Jackson,Baltimore Ravens,Baltimore,,12,
1957,NHL,Gordie Howe,Detroit Red Wings,Detroit,10,11,11
1958,NHL,Gordie Howe,Detroit Red Wings,Detroit,10,11,11
1960,NHL,Gordie Howe,Detroit Red Wings,Detroit,10,11,11
1963,NHL,Gordie Howe,Detroit Red Wings,Detroit,10,11,11
1968,MLB,Denny McLain,Detroit Tigers,Detroit,10,11,11
1980,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1981,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1982,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1983,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1984,MLB,Willie Hernandez,Detroit Tigers,Detroit,10,11,11
1984,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1985,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1986,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1987,NHL,Wayne Gretzky,Edmunton Oilers,Edmunton,,11,
1990,NHL,Mark Messier,Edmunton Oilers,Edmunton,,11,
1994,NHL,Sergei Fedorov,Detroit Red Wings,Detroit,10,11,11
1997,NFL,Barry Sanders,Detroit Lions,Detroit,10,11,11
2011,MLB,Justin Verlander,Detroit Tigers,Detroit,10,11,11
2012,MLB,Miguel Cabrera,Detroit Tigers,Detroit,10,11,11
2013,MLB,Miguel Cabrera,Detroit Tigers,Detroit,10,11,11
2017,NHL,Connor McDavid,Edmunton Oilers,Edmunton,,11,
2020,NHL,Leon Draisaitl,Edmunton Oilers,Edmunton,,11,
1965,MLB,Zoilo Versalles,Minnesota Twins,Minnesota,11,9,9
1969,MLB,Harmon Killebrew,Minnesota Twins,Minnesota,11,9,9
1971,NFL,Alan Page,Minnesota Vikings,Minnesota,11,9,9
1975,NFL,Fran Tarkenton,Minnesota Vikings,Minnesota,11,9,9
1977,MLB,Rod Carew,Minnesota Twins,Minnesota,11,9,9
2004,NBA,Kevin Garnett,Minnesota Timberwolves,Minnesota,11,9,9
2006,MLB,Justin Morneau,Minnesota Twins,Minnesota,11,9,9
2009,MLB,Joe Mauer,Minnesota Twins,Minnesota,11,9,9
2012,NFL,Adrian Peterson,Minnesota Vikings,Minnesota,11,9,9
1974,MLB,Jeff Burroughs,Texas Rangers,Dallas,15,8,8
1993,NFL,Emmitt Smith,Dallas Cowboys,Dallas,15,8,8
1996,MLB,Juan Gonzalez,Texas Rangers,Dallas,15,8,8
1998,MLB,Juan Gonzalez,Texas Rangers,Dallas,15,8,8
1999,MLB,Ivan Rodriguez,Texas Rangers,Dallas,15,8,8
2003,MLB,Alex Rodriguez,Texas Rangers,Dallas,15,8,8
2007,NBA,Dirk Nowitzki,Dallas Mavericks,Dallas,15,8,8
2010,MLB,Josh Hamilton,Texas Rangers,Dallas,15,8,8
1961,NHL,Bernie Geoffrion,Montreal Canadiens,Montreal,,7,
1962,NHL,Jacques Plante,Montreal Canadiens,Montreal,,7,
1964,NHL,Jean Beliveau,Montreal Canadiens,Montreal,,7,
1972,NFL,Larry Brown,Washington Redskins,"Washington, DC",5,7,7
1977,NHL,Guy Lafleur,Montreal Canadiens,Montreal,,7,
1978,NHL,Guy Lafleur,Montreal Canadiens,Montreal,,7,
1979,NFL,Earl Campbell,Houston Oilers,Houston,16,7,7
1979,NBA,Moses Malone,Houston Rockets,Houston,16,7,7
1982,NFL,Mark Moseley,Washington Redskins,"Washington, DC",5,7,7
1982,NBA,Moses Malone,Houston Rockets,Houston,16,7,7
1983,NFL,Joe Theismann,Washington Redskins,"Washington, DC",5,7,7
1994,MLB,Jeff Bagwell,Houston Astros,Houston,16,7,7
1994,NBA,Hakeem Olajuwon,Houston Rockets,Houston,16,7,7
2002,NHL,Jose Theodore,Montreal Canadiens,Montreal,,7,
2008,NHL,Alex Ovechkin,Washington Capitals,"Washington, DC",5,7,7
2009,NHL,Alex Ovechkin,Washington Capitals,"Washington, DC",5,7,7
2013,NHL,Alex Ovechkin,Washington Capitals,"Washington, DC",5,7,7
2015,MLB,Bryce Harper,Washington Nationals,"Washington, DC",5,7,7
2015,NHL,Carey Price,Montreal Canadiens,Montreal,,7,
2017,MLB,Jose Altuve,Houston Astros,Houston,16,7,7
2018,NBA,James Harden,Houston Rockets,Houston,16,7,7
1957,NFL,Jim Brown,Cleveland Browns,Cleveland,13,6,6
1958,NFL,Jim Brown,Cleveland Browns,Cleveland,13,6,6
1965,NFL,Jim Brown,Cleveland Browns,Cleveland,13,6,6
1980,NFL,Brian Sipe,Cleveland Browns,Cleveland,13,6,6
1982,MLB,Dale Murphy,Atlanta Braves,Atlanta,7,6,5
1983,MLB,Dale Murphy,Atlanta Braves,Atlanta,7,6,5
1987,NFL,John Elway,Denver Broncos,Denver,4,6,6
1991,MLB,Terry Pendleton,Atlanta Braves,Atlanta,7,6,5
1997,MLB,Larry Walker,Colorado Rockies,Denver,4,6,6
1998,NFL,Terrell Davis,Denver Broncos,Denver,4,6,6
1999,MLB,Chipper Jones,Atlanta Braves,Atlanta,7,6,5
2001,NHL,Joe Sakic,Colorado Avalanche,Denver,4,6,6
2003,NHL,Peter Forsberg,Colorado Avalanche,Denver,4,6,6
2009,NBA,LeBron James,Cleveland Cavaliers,Cleveland,13,6,6
2010,NBA,LeBron James,Cleveland Cavaliers,Cleveland,13,6,6
2013,NFL,Peyton Manning,Denver Broncos,Denver,4,6,6
2016,NFL,Matt Ryan,Atlanta Falcons,Atlanta,7,6,5
2020,MLB,Freddie Freeman,Atlanta Braves,Atlanta,,6,
1973,NFL,O.J. Simpson,Buffalo Bills,Buffalo,24,5,5
1975,NBA,Bob McAdoo,Buffalo Braves,Buffalo,24,5,5
1991,NFL,Thurman Thomas,Buffalo Bills,Buffalo,24,5,5
1997,NHL,Dominik Hasek,Buffalo Sabres,Buffalo,24,5,5
1998,NHL,Dominik Hasek,Buffalo Sabres,Buffalo,24,5,5
1984,NFL,Dan Marino,Miami Dolphins,Miami,6,4,4
2003,NFL,Peyton Manning,Indianapolis Colts,Indianapolis,,4,
2004,NFL,Peyton Manning,Indianapolis Colts,Indianapolis,,4,
2008,NFL,Peyton Manning,Indianapolis Colts,Indianapolis,,4,
2009,NFL,Peyton Manning,Indianapolis Colts,Indianapolis,,4,
2012,NBA,LeBron James,Miami Heat,Miami,6,4,4
2013,NBA,LeBron James,Miami Heat,Miami,6,4,4
2017,MLB,Giancarlo Stanton,Miami Marlins,Miami,6,4,4
1993,NBA,Charles Barkley,Phoenix Suns,Phoenix,1,3,3
1995,NBA,David Robinson,San Antonio Spurs,San Antonio,,3,
1997,MLB,Ken Griffey Jr.,Seattle Mariners,Seattle,,3,
2001,MLB,Ichiro Suzuki,Seattle Mariners,Seattle,,3,
2002,NBA,Tim Duncan,San Antonio Spurs,San Antonio,,3,
2003,NBA,Tim Duncan,San Antonio Spurs,San Antonio,,3,
2005,NBA,Steve Nash,Phoenix Suns,Phoenix,1,3,3
2005,NFL,Shaun Alexander,Seattle Seahawks,Seattle,,3,
2006,NBA,Steve Nash,Phoenix Suns,Phoenix,1,3,3
1980,MLB,George Brett,Kansas City Royals,Kansas City,,2,
1987,MLB,George Bell,Toronto Blue Jays,Toronto,21,2,2
1996,MLB,Ken Caminiti,San Diego Padres,San Diego,,2,
1997,NBA,Karl Malone,Utah Jazz,Utah,,2,
1999,NBA,Karl Malone,Utah Jazz,Utah,,2,
2004,NHL,Martin St. Louis,Tampa Bay Lightning,Tampa Bay,20,2,1
2006,NFL,LaDainian Tomlinson,San Diego Chargers,San Diego,,2,
2014,NBA,Kevin Durant,Oklahoma City Thunder,Oklahoma City,,2,
2015,MLB,Josh Donaldson,Toronto Blue Jays,Toronto,21,2,2
2017,NBA,Russell Westbrook,Oklahoma City Thunder,Oklahoma City,,2,
2018,NFL,Patrick Mahomes,Kansas City Chiefs,Kansas City,,2,
2019,NHL,Nikita Kucherov,Tampa Bay Lightning,Tampa Bay,,2,
1978,NBA,Bill Walton,Portland Trail Blazers,Portland,,1,
2003,NFL,Steve McNair,Tennessee Titans,Tennessee,18,1,1
2010,NHL,Henrik Sedin,Vancouver Canucks,Vancouver,,1,
2015,NFL,Cam Newton,Carolina Panthers,Carolina,22,1,1
